RoiName:,Aortic ascending flow,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RL[mm],AP[mm],FH[mm],,,,,,,,,,,,,,,,,,,,,,,,,
TopLeftCorner,-7.225985771,-49.20658036,12.86015773,,,,,,,,,,,,,,,,,,,,,,,,,
TopRightCorner,26.68025462,-49.20658036,12.88568114,,,,,,,,,,,,,,,,,,,,,,,,,
BottomRightCorner,26.68014248,-11.66781349,13.03466053,,,,,,,,,,,,,,,,,,,,,,,,,
BottomLeftCorner,-7.226097918,-11.66781349,13.00913712,,,,,,,,,,,,,,,,,,,,,,,,,
ResolutionRows[mm]:,1.2109375,,,,,,,,,,,,,,,,,,,,,,,,,,,
ResolutionCols[mm]:,1.2109375,,,,,,,,,,,,,,,,,,,,,,,,,,,
VelocityScale[cm/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,4.737496376,10.59830189,21.83148956,24.46887589,15.97070694,9.133076668,9.523797035,13.72406483,13.72406483,9.230780602,3.565311432,-2.197802067,-5.51892519,-1.514041424,11.77043915,26.91087723,30.8180809,22.71060944,13.91942501,10.89131832,0,0,0,0
0,0,0,0,0,15.67766666,14.11478519,17.53358841,19.5848465,17.24054718,14.11478519,12.25883961,11.86814308,11.18438244,8.937740326,6.007313728,5.03051281,5.323553085,4.346776009,6.593394279,17.43590927,27.98535919,29.05983925,25.05495453,22.31988907,0,0,0,0
0,0,0,0,0,17.43590927,11.47742271,7.179498672,7.667899132,13.62638474,16.65444374,15.87302685,13.33332062,10.20755768,8.547019958,9.133076668,13.13796043,17.92430878,16.26372337,8.351659775,8.840036392,18.21732521,24.07813072,24.9572525,0,0,0,0,0
0,0,0,0,0,0,5.714273453,0.439548492,-0.732600689,7.667899132,15.57996273,17.92430878,15.77532291,11.57507896,9.914541245,11.18438244,14.7008419,18.51036453,19.19412613,15.2869463,11.0866785,10.69595814,11.18438244,9.621500969,0,0,0,0,0
0,0,0,0,0,0,0,2.979254723,-1.025629044,1.318669319,10.69595814,18.11966896,18.02196503,14.21244144,12.45419979,13.13796043,13.33332062,12.844944,14.31014538,15.97070694,13.72406483,8.547019958,1.80709362,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.439548492,-0.146520138,6.984138489,13.33332062,14.21244144,13.13796043,12.94260025,13.43102455,11.77043915,9.914541245,11.47742271,14.11478519,13.33332062,8.644676208,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6.886434555,8.742380142,5.909657478,3.46763134,6.398034096,10.5006218,11.47742271,9.523797035,9.523797035,13.62638474,17.14284515,13.62638474,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1.80709362,-2.783894539,1.90474987,9.035420418,9.914541245,6.300377846,7.179498672,14.89620209,20.7570076,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.439548492,6.495738029,13.04030418,13.33332062,7.374858856,5.03051281,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
